a,b,kind,width_m,turn_radius_m,one_way,gate,base_speed_kmh
HQ,N1,main,8,10,False,False,25
N1,N2,main,6,9,False,False,25
N2,N3,main,5,8,False,False,22
N3,N4,main,6,9,False,False,22
N4,N5,main,7,10,False,True,20
N5,N6,main,6,9,False,False,20
N6,N7,main,5,8,False,False,20
N7,N8,main,5,8,False,False,20
N4,E1,main,8,11,False,False,35
E1,E2,alley,4,7,False,True,18
E2,E3,alley,5,8,False,False,18
E2,N6,alley,3,6,True,False,16
HQ,W1,main,6,10,False,False,30
W1,W2,main,6,10,False,True,35
W2,W3,main,7,11,False,False,35
W3,N8,alley,3,5,False,False,18
E1,S1,footpath,0,0,False,False,6
E3,S2,footpath,0,0,False,False,6
N8,S3,footpath,0,0,False,False,6
N8,POI_KU_StudentCenter,alley,2,4,False,False,10
W1,POI_KU_VetHospital,main,4,7,False,False,25
W1,POI_KU_Stadium,main,4,7,False,False,25
N6,N5,main,6,9,False,False,20
N5,N4,main,7,10,False,False,20
N4,N3,main,6,9,False,False,22
